route_id,stop_id,stop_name,next_stop,derived_next_stop,derived_stop_name
47D,11,NUNGAMBAKKAM R.S.,HOTEL ARUN,47D-HOTEL ARUN,47D-NUNGAMBAKKAM R.S.
47D,12,HOTEL ARUN,ANNA NAGAR CIRCLE,47D-ANNA NAGAR CIRCLE,47D-HOTEL ARUN
47D,13,ANNA NAGAR CIRCLE,THIRUMANGALAM,47D-THIRUMANGALAM,47D-ANNA NAGAR CIRCLE
47D,14,THIRUMANGALAM,LUCAS TVS,47D-LUCAS TVS,47D-THIRUMANGALAM
47D,15,LUCAS TVS,AMBATTUR I.E.,47D-AMBATTUR I.E.,47D-LUCAS TVS
47D,16,AMBATTUR I.E.,DUNLOP,DUNLOP,47D-AMBATTUR I.E.
47D,17,DUNLOP,AMBATTUR O.T.,47D-AMBATTUR O.T.,DUNLOP
47D,18,AMBATTUR O.T.,THIRUMULLAIVOYAL,47D-THIRUMULLAIVOYAL,47D-AMBATTUR O.T.
47D,19,THIRUMULLAIVOYAL,POLYTECHNIC,47D-POLYTECHNIC,47D-THIRUMULLAIVOYAL
47D,20,POLYTECHNIC,AVADI,47D-AVADI,47D-POLYTECHNIC
47D,21,AVADI,47D,47D,47D-AVADI
48B,1,VALLALAR NAGAR,P1.POLICE STATION,48B-P1.POLICE STATION,48B-VALLALAR NAGAR
48B,2,P1.POLICE STATION,DASAMAHAN,48B-DASAMAHAN,48B-P1.POLICE STATION
48B,3,DASAMAHAN,SAYANI/AYNAVARAM,48B-SAYANI/AYNAVARAM,48B-DASAMAHAN
48B,4,SAYANI/AYNAVARAM,KAMABAR ARANGAM,48B-KAMABAR ARANGAM,48B-SAYANI/AYNAVARAM
48B,5,KAMABAR ARANGAM,NATHAMUNI TALKIES,48B-NATHAMUNI TALKIES,48B-KAMABAR ARANGAM
48B,6,NATHAMUNI TALKIES,LUCAS TVS,48B-LUCAS TVS,48B-NATHAMUNI TALKIES
48B,7,LUCAS TVS,AMBATTUR I.E.,48B-AMBATTUR I.E.,48B-LUCAS TVS
48B,8,AMBATTUR I.E.,DUNLOP,DUNLOP,48B-AMBATTUR I.E.
48B,9,DUNLOP,AMBATTUR O.T.,48B-AMBATTUR O.T.,DUNLOP
48B,10,AMBATTUR O.T.,PUDUR,48B-PUDUR,48B-AMBATTUR O.T.
48B,11,PUDUR,48B,48B,48B-PUDUR
48BX,1,VALLALAR NAGAR,P1.POLICE STATION,48BX-P1.POLICE STATION,48BX-VALLALAR NAGAR
48BX,2,P1.POLICE STATION,DASAMAHAN,48BX-DASAMAHAN,48BX-P1.POLICE STATION
48BX,3,DASAMAHAN,SAYANI/AYNAVARAM,48BX-SAYANI/AYNAVARAM,48BX-DASAMAHAN
48BX,4,SAYANI/AYNAVARAM,KAMABAR ARANGAM,48BX-KAMABAR ARANGAM,48BX-SAYANI/AYNAVARAM
48BX,5,KAMABAR ARANGAM,NATHAMUNI TALKIES,48BX-NATHAMUNI TALKIES,48BX-KAMABAR ARANGAM
48BX,6,NATHAMUNI TALKIES,LUCAS TVS,48BX-LUCAS TVS,48BX-NATHAMUNI TALKIES
48BX,7,LUCAS TVS,AMBATTUR I.E.,48BX-AMBATTUR I.E.,48BX-LUCAS TVS
48BX,8,AMBATTUR I.E.,DUNLOP,DUNLOP,48BX-AMBATTUR I.E.
48BX,9,DUNLOP,AMBATTUR O.T.,48BX-AMBATTUR O.T.,DUNLOP
48BX,10,AMBATTUR O.T.,ORAGADAM O.T.,48BX-ORAGADAM O.T.,48BX-AMBATTUR O.T.
48BX,11,ORAGADAM O.T.,ORAGADAM,48BX-ORAGADAM,48BX-ORAGADAM O.T.
48BX,12,ORAGADAM,48BX,48BX,48BX-ORAGADAM
48K,1,VALLALAR NAGAR,P1.POLICE STATION,48K-P1.POLICE STATION,48K-VALLALAR NAGAR
48K,2,P1.POLICE STATION,DASAMAHAN,48K-DASAMAHAN,48K-P1.POLICE STATION
48K,3,DASAMAHAN,SAYANI/AYNAVARAM,48K-SAYANI/AYNAVARAM,48K-DASAMAHAN
48K,4,SAYANI/AYNAVARAM,KAMABAR ARANGAM,48K-KAMABAR ARANGAM,48K-SAYANI/AYNAVARAM
48K,5,KAMABAR ARANGAM,NATHAMUNI TALKIES,48K-NATHAMUNI TALKIES,48K-KAMABAR ARANGAM
48K,6,NATHAMUNI TALKIES,LUCAS TVS,48K-LUCAS TVS,48K-NATHAMUNI TALKIES
48K,7,LUCAS TVS,AMBATTUR I.E.,48K-AMBATTUR I.E.,48K-LUCAS TVS
48K,8,AMBATTUR I.E.,DUNLOP,DUNLOP,48K-AMBATTUR I.E.
48K,9,DUNLOP,AMBATTUR O.T.,48K-AMBATTUR O.T.,DUNLOP
48K,10,AMBATTUR O.T.,PUDUR,48K-PUDUR,48K-AMBATTUR O.T.
48K,11,PUDUR,KALLIKUPPAM,48K-KALLIKUPPAM,48K-PUDUR
48K,12,KALLIKUPPAM,48K,48K,48K-KALLIKUPPAM
48P,1,VALLALAR NAGAR,P1.POLICE STATION,48P-P1.POLICE STATION,48P-VALLALAR NAGAR
48P,2,P1.POLICE STATION,DASAMAHAN,48P-DASAMAHAN,48P-P1.POLICE STATION
48P,3,DASAMAHAN,SAYANI/AYNAVARAM,48P-SAYANI/AYNAVARAM,48P-DASAMAHAN
48P,4,SAYANI/AYNAVARAM,KAMABAR ARANGAM,48P-KAMABAR ARANGAM,48P-SAYANI/AYNAVARAM
48P,5,KAMABAR ARANGAM,NATHAMUNI TALKIES,48P-NATHAMUNI TALKIES,48P-KAMABAR ARANGAM
48P,6,NATHAMUNI TALKIES,LUCAS TVS,48P-LUCAS TVS,48P-NATHAMUNI TALKIES
48P,7,LUCAS TVS,AMBATTUR I.E.,48P-AMBATTUR I.E.,48P-LUCAS TVS
48P,8,AMBATTUR I.E.,DUNLOP,DUNLOP,48P-AMBATTUR I.E.
48P,9,DUNLOP,AMBATTUR O.T.,48P-AMBATTUR O.T.,DUNLOP
48P,10,AMBATTUR O.T.,PUDUR,48P-PUDUR,48P-AMBATTUR O.T.
48P,11,PUDUR,KALLIKUPPAM,48P-KALLIKUPPAM,48P-PUDUR
48P,12,KALLIKUPPAM,SURAPEDU,48P-SURAPEDU,48P-KALLIKUPPAM
48P,13,SURAPEDU,PUTHAGARAM,48P-PUTHAGARAM,48P-SURAPEDU
48P,14,PUTHAGARAM,48P,48P,48P-PUTHAGARAM
572K,1,AMBATTUR I.E.,DUNLOP,DUNLOP,572K-AMBATTUR I.E.
572K,2,DUNLOP,AMBATTUR O.T.,572K-AMBATTUR O.T.,DUNLOP
572K,3,AMBATTUR O.T.,THIRUMULLAIVOYAL,572K-THIRUMULLAIVOYAL,572K-AMBATTUR O.T.
572K,4,THIRUMULLAIVOYAL,POLYTECHNIC,572K-POLYTECHNIC,572K-THIRUMULLAIVOYAL
572K,5,POLYTECHNIC,AVADI,572K-AVADI,572K-POLYTECHNIC
572K,6,AVADI,KAVARAIPALAYAM,572K-KAVARAIPALAYAM,572K-AVADI
572K,7,KAVARAIPALAYAM,PATTABIRAM,572K-PATTABIRAM,572K-KAVARAIPALAYAM
572K,8,PATTABIRAM,NEMILICHERI,572K-NEMILICHERI,572K-PATTABIRAM
572K,9,NEMILICHERI,THIRUNINDRAVOOR,572K-THIRUNINDRAVOOR,572K-NEMILICHERI
572K,10,THIRUNINDRAVOOR,VEPPUMPATTU PULIYAMARAM,572K-VEPPUMPATTU PULIYAMARAM,572K-THIRUNINDRAVOOR
572K,11,VEPPUMPATTU PULIYAMARAM,PERUMALPATTU,572K-PERUMALPATTU,572K-VEPPUMPATTU PULIYAMARAM
572K,12,PERUMALPATTU,KANDAN KOLLAI,572K-KANDAN KOLLAI,572K-PERUMALPATTU
572K,13,KANDAN KOLLAI,CHEVVAIPETTAI R.S.,572K-CHEVVAIPETTAI R.S.,572K-KANDAN KOLLAI
572K,14,CHEVVAIPETTAI R.S.,VELLAKULAM JN.,572K-VELLAKULAM JN.,572K-CHEVVAIPETTAI R.S.
572K,15,VELLAKULAM JN.,THANDALAM,572K-THANDALAM,572K-VELLAKULAM JN.
572K,16,THANDALAM,KALYANAKUPPAM,572K-KALYANAKUPPAM,572K-THANDALAM
572K,17,KALYANAKUPPAM,CHITHATHUR COLONY,572K-CHITHATHUR COLONY,572K-KALYANAKUPPAM
572K,18,CHITHATHUR COLONY,PERATHUR,572K-PERATHUR,572K-CHITHATHUR COLONY
572K,19,PERATHUR,PERATHUR COLONY,572K-PERATHUR COLONY,572K-PERATHUR
572K,20,PERATHUR COLONY,VISHNUVAKKAM,572K-VISHNUVAKKAM,572K-PERATHUR COLONY
572K,21,VISHNUVAKKAM,KIZHANOOR,572K-KIZHANOOR,572K-VISHNUVAKKAM
572K,22,KIZHANOOR,572K,572K,572K-KIZHANOOR
62A,1,REDHILLS,AAYURVEDA ASHRAMAM,62A-AAYURVEDA ASHRAMAM,62A-REDHILLS
62A,2,AAYURVEDA ASHRAMAM,KAVANGARAI,62A-KAVANGARAI,62A-AAYURVEDA ASHRAMAM
62A,3,KAVANGARAI,SCREW FACTORY,62A-SCREW FACTORY,62A-KAVANGARAI
62A,4,SCREW FACTORY,SURAPEDU,62A-SURAPEDU,62A-SCREW FACTORY
62A,5,SURAPEDU,KALLIKUPPAM,62A-KALLIKUPPAM,62A-SURAPEDU
62A,6,KALLIKUPPAM,PUDUR,62A-PUDUR,62A-KALLIKUPPAM
62A,7,PUDUR,AMBATTUR O.T.,62A-AMBATTUR O.T.,62A-PUDUR
62A,8,AMBATTUR O.T.,DUNLOP,DUNLOP,62A-AMBATTUR O.T.
62A,9,DUNLOP,AMBATTUR I.E.,62A-AMBATTUR I.E.,DUNLOP
62A,10,AMBATTUR I.E.,62A,62A,62A-AMBATTUR I.E.
62B,1,J.J.NAGAR WEST,AMBATTUR I.E.,62B-AMBATTUR I.E.,62B-J.J.NAGAR WEST
62B,2,AMBATTUR I.E.,DUNLOP,DUNLOP,62B-AMBATTUR I.E.
62B,3,DUNLOP,AMBATTUR O.T.,62B-AMBATTUR O.T.,DUNLOP
62B,4,AMBATTUR O.T.,THIRUMULLAIVOYAL,62B-THIRUMULLAIVOYAL,62B-AMBATTUR O.T.
62B,5,THIRUMULLAIVOYAL,TEMPLE JN.,62B-TEMPLE JN.,62B-THIRUMULLAIVOYAL
